headline,label
"Federal Reserve holds interest rates steady, keeping one rate cut in play this year as uncertainty mounts.",negative
"Fed governor Stephen Miran prefers a quarter-point cut in split rate decision.",neutral
"Morgan Stanley lays off about 2,500 employees globally despite strong annual results.",negative
"Wall Street strategists say it's time to jump in with tech stocks.",positive
"Magnificent Seven stocks are splitting again as the latest market rally reshapes leadership.",positive
"Bank earnings in the week ahead kick off first-quarter reporting season.",neutral
"S&P 500 slips Friday but posts best week since November after fragile Iran ceasefire deal.",positive
"Stocks gain on Iran ceasefire as markets notch a strong weekly rally.",positive
"Earnings season could finally give the stock market some good news.",positive
"JPMorgan Chase and Netflix kick off the reporting season as earnings season heats up.",neutral
"Fed Governor Miran says job losses in February add to the case for more rate cuts.",negative
"Stocks making the biggest moves midday: Marvell Technology, BlackRock, United Airlines, CF Industries and more.",neutral
"Arista Networks shares surge over 10% after AI networking drives record profits.",positive
"Cumulus Media earnings miss by $6.72 while revenue tops estimates.",negative
"Fastenal earnings up next as sales surge tests margin outlook.",positive
"Fed holds rates steady in a split decision as inflation and labor data pull policy in opposite directions.",neutral
"The latest market rally cools after investors reassess the Iran ceasefire.",neutral
"Stock market's latest rally revives a familiar trade, but not all Magnificent Seven names are participating.",neutral
"Bank earnings and US-Iran talks top the list of market drivers for the week ahead.",neutral
"Investors look for clarity from corporate guidance as earnings season begins.",neutral
"The Fed remains in focus as traders weigh future rate cuts against stubborn uncertainty.",neutral
"Tech stocks help lead the market's latest rebound.",positive
"Shares jump on strong AI-related results, underscoring continued earnings momentum in tech.",positive
"Market participants watch for evidence that companies can weather energy shocks.",neutral
"Layoffs continue across the financial sector as firms seek cost cuts and efficiency gains.",negative
"Companies across sectors face pressure from softer demand and changing tariff conditions.",negative
"Labor market weakness raises questions about the pace of future Fed easing.",negative
"Inflation data continues to shape expectations for central bank policy.",neutral
"Crypto markets remain part of the broader risk-asset rally.",neutral
"Traders balance earnings, Fed policy, and geopolitical risk as markets move higher.",neutral